,Address,location
0,309 HEMLOCK STREET NYC,"(40.682301949999996, -73.87054313462036)"
1,420 BEACH 65TH ST NYC,"(40.5936317, -73.79401702642045)"
2,100 Greene St NYC,"(40.7242355, -73.99969014999999)"
3,345 W 16th St NYC,"(40.7420332, -74.00328949413588)"
4,1332 Lexington Ave NYC,"(40.7813743, -73.9543929)"
5,30 E 71st St NYC,"(40.7708753, -73.9656473)"
6,1394 Lexington Ave NYC,"(40.7831919, -73.9530494)"
7,362 Wadsworth Ave NYC,"(40.856427800000006, -73.93055043062114)"
8,E Beach Ave NYC,"(40.836118, -73.867006)"
9,2401 Davidson Ave NYC,"(40.8617515, -73.90338710413775)"
10,2776 Morris Ave NYC,"(40.86909427027027, -73.89451467567567)"
11,121 Dahill Rd NYC,"(40.644445, -73.98052379760486)"
12,9411 Church Ave NYC,"(40.6549515, -73.916861)"
13,2101 Church Ave NYC,"(40.6505308, -73.95959074857974)"
14,1163 E 10th St NYC,"(40.620722150000006, -73.9651867)"
15,4711 5th Ave NYC,"(43.3545384, -8.4082542)"
16,65 N 15th St NYC,"(40.72372705263158, -73.95550060526315)"
17,88-17 184th St NYC,"(40.7135291, -73.77760380415083)"
18,59-24 Norman St NYC,"(40.7001363, -73.89807131666439)"
19,31-13 28th Rd NYC,"(40.7678624, -73.91973655000001)"
20,406 ROCKAWAY PKWY NYC,"(40.65798425, -73.91712075000001)"
21,131 Duane St NYC,"(40.71637575, -74.00746174792405)"
22,215 Thompson St NYC,"(40.7290495, -73.9992861)"
23,E Stillwell Ave NYC,"(40.8532484, -73.8429382)"
24,185 Kensington St NYC,"(40.578601, -73.94163742857143)"
25,266 E 21st St NYC,"(40.66068037931034, -73.99248631034483)"
26,1019 Avenue H NYC,"(40.629633, -73.9664291)"
27,430 7th Ave NYC,"(40.7507891, -73.9909924)"
28,172-06 90th Ave NYC,"(40.70913265, -73.78826729179485)"
29,158-18 Cross Bay Blvd NYC,"(40.6601875, -73.8404114)"
30,152-12 Melbourne Ave NYC,"(40.73368805, -73.81682528418719)"
31,144-49 76th Ave NYC,"(40.72337445, -73.81797495)"
32,S Negundo Ave NYC,"(40.74948, -73.814705)"
33,99 TOMPKINS AVE NYC,"(40.6961776, -73.9461895)"
34,31-17 23rd Ave NYC,"(40.77415625, -73.91219395629022)"
35,29-10 14th St NYC,"(40.7712537, -73.9299555922366)"
36,384 Nome Ave NYC,"(40.58876555, -74.16291995966003)"
